company_name,founded_year,location,industry,latest_funding,website,linkedin,description
Alma,2023.0,,information technology & services,Seed,https://www.tryalma.com/,,"Alma simplifies immigration for technologists, founders, researchers, and others at the top of their fields with our highly experienced immigration lawyers and a user-friendly platform."
GlossGenius,2016.0,,information technology & services,Series C,http://www.glossgenius.com,,"GlossGenius is one of the quickest growing solutions powering small business owners across the US in the beauty & wellness space with elegant, vibrant, and intuitive software. GlossGenius's complete ""business-in-a-box"" platform spans powerful SaaS and fintech solutions, enabling tens of thousands of business owners to run their entire set of business operations every day. GlossGenius is backed by Bessemer Venture Partners, Imaginary Ventures, Left Lane Capital, L Catterton, and a number of high-profile strategic investors and has raised a total of ~$70mm."
Ethic,2015.0,,financial services,Series C,http://www.ethic.com,,We've spent the last 9 years simplifying the complex world of values-aligned investing. Our platform empowers wealth advisors and investors to create portfolios that align personal values with financial goals.
Thirty Madison,2017.0,,hospital & health care,Series C,http://www.thirtymadison.com,,"Thirty Madison exists to deliver on healthcare's biggest opportunities: access and affordability; patient outcomes; and patient experience. With empathy at the heart of its innovation, its proprietary care model empowers hundreds of thousands of people with ongoing conditions with accessible, effective treatments across a lifetime of care. Learn more at ThirtyMadison.com."
GreenLite,2022.0,,information technology & services,Seed,http://www.greenlite.com,,"GreenLite makes getting a construction permit fast, predictable, and transparent. GreenLite is revolutionizing development in America by streamlining the collaboration between developers, builders, and local regulatory authorities. GreenLite's software powers our Private Plan Review offering, serving many of the nation's largest public retailers, developers, and production home builders. By leveraging our technology, our customers save months on each project, significantly accelerating their timelines. GreenLite is founded by experts in technology, development, and within the AEC (Architecture, Engineering, and Construction) industry, and backed by leading venture capital firms. We are at the forefront of the privatization of construction permitting and plan review, reshaping a multi-hundred billion dollar industry. Let's connect: Sales inquiries: sales@greenlite.com Interview and media requests: media@greenlite.com Investment opportunities: ir@greenlite.com Job Opportunities: recruiting@greenlite.com"
Livewire,2021.0,,marketing & advertising,Series A,http://www.livewire.group,,"In game. Around game. For the love of the game. We are global leaders in gaming marketing and gametech, created integrated and immersive solutions that deliver targeted and measurable results for brands. Our global team of gaming natives solve brand problems and create opportunities for brands to build authentic and positive engagement with the gaming audience."
ConcertoCare,2015.0,,hospital & health care,Series B,http://www.concertocare.com,,"ConcertoCare is a tech-enabled, value-based provider of at-home, comprehensive care for seniors and other adults with unmet health and social needs. ConcertoCare deploys physician-led interdisciplinary teams— supported by its proprietary population health platform, Patient3D®, and clinical decision support tools — to manage the country's most medically and socially complex and costly patients in ways that keep them in their homes and out of the hospital. The results are better health outcomes, reduced costs, and a more personalized and integrated experience for patients and their families. ConcertoCare works with a wide variety of payers and can partner with a patient's current primary care physician or serve as the provider of record. Led by a world-class team of home-based care physicians, population health technology experts, former policymakers, and senior health plan executives, ConcertoCare serves seniors across the country. For more information, visit www.concertocare.com. NOTE: Protect yourself from recruitment fraud. ConcertoCare will never ask for financial information or payment, or for personal information such as bank account number or social security number during the job application or interview process. Any emails from the ConcertoCare recruiting team will come from a @concertocare.com email address."
Vantage,2020.0,,information technology & services,Series A,http://www.vantage.sh,,"Vantage is a cloud cost observability platform with more than a dozen native integrations, including AWS, Azure, GCP, Kubernetes, Datadog, Snowflake, Databricks and more. Thousands of organizations globally, ranging from startups to F500 companies, rely on Vantage to optimize billions of dollars in annualized infrastructure costs. Vantage was founded by former employees of AWS, Digital Ocean, and GitHub and is backed by top venture capital firms, Andreessen Horowitz and Scale Venture Partners."
Immunai,2019.0,,research,Series B,http://www.immunai.com,,"Comprehensively mapping and decoding the immune system with single-cell biology and AI to power new therapeutic discoveries, accelerate drug development and improve patient outcomes"
Rockerbox,2013.0,,information technology & services,Seed,http://www.rockerbox.com,,"Rockerbox centralizes advertising data across all media channels to help marketers solve their core challenges—accurately attributing conversions, optimizing media investments, and driving growth. Our products simplify the complexity of multi-channel marketing, enabling large brands to leverage best-in-"
Pinwheel,2018.0,,information technology & services,Series B,http://www.pinwheelapi.com,,"Pinwheel helps banks win primacy with user-centric solutions that deepen relationships and grow lifetime value. Pinwheel's market leading digital deposit switch solution, used by the world's leading financial institutions, delivers 2x better conversion than the industry standard, greater security, and first-of-its kind share of wallet insights to power customer engagement programs to new heights."
Kalshi,2019.0,,financial services,Series A,http://www.kalshi.com,,"The first US federally regulated exchange where you can trade on the outcome of any event. Kalshi's historical regulatory approval from the CFTC enables it to offer a new asset class called ""event contracts,"" which allow traders to take positions on whether a future event will happen or not. Kalshi aims to enable investors to trade on almost anything with economic relevance from Covid numbers to whether a bill will pass in Congress, broadening the historical definition of what a commodity derivative is and paving the way for the futures market to catch up to the novel risks facing the economy today. Kalshi is backed by Sequoia, Henry Kravis, Charles Schwab, and Y Combinator."
Mantra Health,2018.0,,mental health care,Series A,http://www.mantrahealth.com,,"Mantra Health is a digital mental health clinic on a mission to improve young peoples' mental healthcare access through clinical services, software, and design. Since our founding in 2018, we've built a comprehensive treatment service for young adults with various mental health conditions. We've raised over $27 million to work with students at universities and colleges across the country such as MIT, Cornell, and the University of Minnesota. Our students see clinically significant differences in their mental health during treatment with us. We're particularly proud that nearly two-thirds of students with access to Mantra report that Mantra's program helped them stay in school."
Reachdesk,2018.0,,information technology & services,Series B,http://www.reachdesk.com,,"Reachdesk enables companies to deliver moments that matter at scale, globally, throughout the entire customer lifecycle. Through Reachdesk companies can deliver gifts and direct mail that build deeper connections with customers, prospects and employees at the click of a button. Our integrations to your tech stack power a clear and quantifiable ROI; the direct channel is no longer a guessing game."
Priori,2013.0,,internet,Series A,http://www.priorilegal.com,,"Priori transforms how legal teams find, engage, and manage outside counsel, connecting them with the right talent at the right price for any need. With over a decade of experience partnering with legal teams, we provide access to flexible talent, a global law firm marketplace, and cutting-edge software for managing law firm panels and legal RFP workflows."
